Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,PLUSMINUS
Caron Butler,DET,35,78,30,48,20.8,2.1,5.1,40.7,1.1,2.8,37.9,0.7,0.8,90.2,0.3,2.2,2.5,1,0.6,0.6,0.1,1.5,0,0,5.9,-0.3
Cartier Martin,DET,30,23,7,16,8.6,0.7,2.3,28.3,0.3,1.4,18.2,0,0,0,0,0.9,0.9,0.5,0.2,0.1,0,0.9,0,0,1.6,0.9
Chandler Parsons,DAL,26,66,41,25,33.1,5.8,12.6,46.2,2,5.3,38,2.1,2.9,72,1,3.9,4.9,2.4,1.5,1,0.3,2.1,3,0,15.7,3.1
Channing Frye,ORL,32,75,23,52,24.9,2.5,6.5,39.2,1.8,4.6,39.3,0.4,0.5,88.6,0.4,3.5,3.9,1.3,1,0.6,0.5,2.5,2,0,7.3,-3.3
Charles Hayes,TOR,32,29,17,12,8.8,0.8,1.6,47.8,0,0,0,0.2,0.4,54.5,0.6,1.1,1.8,0.7,0.3,0.3,0.1,1.3,0,0,1.7,1.3
Charlie Villanueva,DAL,30,64,37,27,10.6,2.3,5.7,41.4,1.3,3.5,37.6,0.3,0.5,57.1,0.5,1.9,2.3,0.3,0.4,0.2,0.3,1,0,0,6.3,-0.9
Chase Budinger,MIN,27,67,8,59,19.2,2.5,5.8,43.3,0.8,2.1,36.4,1,1.2,82.7,0.5,2.5,3,1,0.7,0.7,0.1,1.1,0,0,6.8,-3.9
Chris Andersen,MIA,36,60,27,33,18.9,2,3.5,58,0.1,0.2,30.8,1.3,1.9,66.7,1.3,3.7,5,0.7,0.7,0.4,1,1.5,1,0,5.3,-0.1
Chris Bosh,MIA,31,44,19,25,35.4,7.8,16.9,46,1.4,3.8,37.5,4.1,5.3,77.2,1,6,7,2.2,2.2,0.9,0.6,1.6,7,0,21.1,-2.3
Chris Copeland,IND,31,50,19,31,16.6,2.2,6.2,36.1,1,3.3,31.1,0.7,0.9,73.3,0.5,1.8,2.2,1,1.2,0.2,0.2,1.6,1,0,6.2,-0.6
Chris Douglas-Roberts,LAC,28,12,5,7,8.5,0.4,1.8,23.8,0.1,0.6,14.3,0.7,0.7,100,0.1,0.9,1,0.3,0,0.1,0,1.2,0,0,1.6,-1.3
Chris Johnson,UTA,25,29,9,20,18.2,2.1,5.3,40.3,1,3.3,29.5,0.5,0.6,87.5,0.3,1.6,1.9,0.5,0.5,0.9,0.2,1.5,0,0,5.7,-1.1
Chris Kaman,POR,33,74,47,27,18.9,3.8,7.4,51.5,0,0,0,1,1.4,70.6,2,4.5,6.5,0.9,1.5,0.2,0.7,1.9,4,0,8.6,-0.1
Chris Paul,LAC,30,82,56,26,34.8,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90,0.6,4,4.6,10.2,2.3,1.9,0.2,2.5,40,1,19.1,9
Cleanthony Early,NYK,24,39,6,33,16.6,1.9,5.5,35.5,0.6,2.2,26.2,0.9,1.2,75,0.6,1.9,2.5,0.9,1,0.6,0.3,1.5,0,0,5.4,-4.1
Clint Capela,HOU,21,12,8,4,7.5,1.2,2.4,48.3,0,0,0,0.3,1.9,17.4,0.8,2.2,3,0.2,0.4,0.1,0.8,1.2,0,0,2.7,0.7
Cody Zeller,CHA,22,62,27,35,24,2.8,6,46.1,0,0,100,2,2.6,77.4,1.6,4.3,5.8,1.6,1,0.5,0.8,2.5,2,0,7.6,0.3
Cole Aldrich,NYK,26,61,11,50,16,2.4,4.9,47.8,0,0,0,0.8,1,78.1,1.7,3.9,5.5,1.2,1,0.6,1.1,2,6,0,5.5,-4.5
Corey Brewer,HOU,29,80,42,38,26.1,4.3,10.1,42.6,0.8,2.9,26.8,2.1,2.8,74.3,1,2.7,3.7,2.2,1.6,1.4,0.2,2.2,3,0,11.5,-0.4
Cory Jefferson,BKN,24,50,18,32,10.6,1.5,3.3,44.9,0,0.3,13.3,0.6,1.1,57.4,0.9,2,2.9,0.3,0.4,0.2,0.4,1.2,1,0,3.7,1.5
Cory Joseph,SAS,23,79,53,26,18.3,2.6,5.2,50.4,0.2,0.6,36.4,1.3,1.8,73.4,0.6,1.9,2.4,2.4,0.8,0.6,0.2,1.3,0,0,6.8,2.2
Courtney Lee,MEM,29,77,51,26,30.6,3.7,8.4,44.8,1.2,2.9,40.2,1.4,1.7,86,0.3,2,2.3,2,1,1,0.2,1.7,0,0,10.1,1.6
D.J. Augustin,OKC,27,82,37,45,23.9,3.1,7.9,39.9,1,3,33.7,2.2,2.5,86.8,0.2,1.7,2,4.3,1.8,0.6,0,1.1,4,0,9.5,-0.9
