Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FGP,ThreePM,ThreePA,ThreePP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,PLUSMINUS
Ekpe Udoh,LAC,28,33,24,9,3.9,0.3,0.7,45.8,0,0,0,0.2,0.3,77.8,0.2,0.6,0.8,0.2,0.2,0.2,0.2,0.6,0,0,0.9,-0.3
Elfrid Payton,ORL,21,82,25,57,30.4,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3,4.3,6.5,2.5,1.7,0.2,2.4,12,2,8.9,-2.5
Elijah Millsap,UTA,27,47,25,22,19.7,1.7,5.1,34,0.6,1.9,31.1,1.2,1.8,67.4,0.6,2.6,3.2,1.2,1.4,1.2,0.3,2.6,0,0,5.3,1.1
Elliot Williams,NOP,26,13,6,7,9.1,1.1,2.8,37.8,0.6,1.4,44.4,0.1,0.3,25,0,0.6,0.6,0.9,0.3,0.3,0,0.9,0,0,2.8,0.6
Elton Brand,ATL,36,36,25,11,13.5,1.2,2.6,44.2,0,0,0,0.3,0.6,52.2,0.8,2,2.8,0.6,0.5,0.5,0.7,1.5,0,0,2.7,0.1
Enes Kanter,OKC,23,75,32,43,28.5,6.4,12.4,51.9,0.2,0.6,35.6,2.4,3.1,78.2,3.7,5.3,8.9,0.7,1.9,0.5,0.4,2.5,31,0,15.5,-0.4
Eric Bledsoe,PHX,25,81,39,42,34.6,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80,0.9,4.3,5.2,6.1,3.4,1.6,0.6,2.3,13,2,17,0.5
Eric Gordon,NOP,26,61,35,26,33.1,4.7,11.4,41.1,2.3,5.2,44.8,1.8,2.2,80.5,0.5,2.1,2.6,3.8,2,0.8,0.2,2.4,1,0,13.4,1.1
Eric Moreland,SAC,23,3,0,3,0.7,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.3,0,0,0.7,0.3
Erick Green,DEN,24,43,15,28,9.5,1.4,3.8,37.7,0.3,1.1,29.8,0.2,0.3,83.3,0.2,0.6,0.7,0.9,0.3,0.3,0,0.6,0,0,3.4,-1.9
Ersan Ilyasova,MIL,28,58,26,32,22.7,4.5,9.6,47.2,1.3,3.3,38.9,1.2,1.8,64.5,1.4,3.4,4.8,1,0.8,0.6,0.3,2.6,6,0,11.5,0.4
Evan Fournier,ORL,22,58,19,39,28.6,4.4,9.9,44,1.5,3.9,37.8,1.8,2.5,72.8,0.5,2.2,2.6,2.1,1.4,0.7,0,2,0,0,12,-2.5
Evan Turner,BOS,26,82,40,42,27.6,3.9,9.1,42.9,0.4,1.5,27.7,1.3,1.7,75.2,0.5,4.6,5.1,5.5,2.4,1,0.2,2.2,7,3,9.5,-1.2
Festus Ezeli,GSW,25,46,39,7,10.9,1.7,3,54.7,0,0,0,1.1,1.7,62.8,1.3,2.1,3.4,0.2,0.7,0.2,0.9,1.7,0,0,4.4,0.3
Francisco Garcia,HOU,33,14,10,4,14.3,1.2,4.5,27,0.7,3.2,22.2,0.1,0.3,25,0.2,1,1.2,1.1,0.7,0.6,0.4,1.4,0,0,3.2,-0.7
Furkan Aldemir,PHI,23,41,9,32,13.2,1,1.9,51.3,0,0.1,0,0.3,0.7,48.1,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,1,0,2.3,-2.5
Gal Mekel,NOP,27,4,2,2,10.9,0.8,5,15,0,0.8,0,0,0,0,0,0.3,0.3,3.3,0.5,0.5,0,0.3,0,0,1.5,0.5
Garrett Temple,WAS,29,52,28,24,14.1,1.3,3.3,40,0.6,1.7,37.5,0.7,0.9,72.9,0.5,1.3,1.7,1.1,0.7,0.8,0.2,1.5,0,0,3.9,-0.9
Gary Harris,DEN,20,55,18,37,13.1,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.7,0.1,1.3,0,0,3.4,-3.2
Gary Neal,MIN,30,54,24,30,22.1,3.5,9.3,37.4,0.9,3,30.5,2.2,2.5,86.7,0.3,2.1,2.4,1.9,1.2,0.4,0,1.6,0,0,10.1,-1.9
George Hill,IND,29,43,26,17,29.5,5.9,12.4,47.7,1.6,4.5,35.8,2.6,3.3,79,0.6,3.6,4.2,5.1,1.6,1,0.3,2.6,2,1,16.1,3.7
Gerald Green,PHX,29,74,34,40,19.5,4.4,10.5,41.6,1.9,5.2,35.4,1.3,1.6,82.5,0.4,2.1,2.5,1.2,1.4,0.6,0.2,2,0,0,11.9,-0.1
Gerald Henderson,CHA,27,80,32,48,28.9,4.6,10.6,43.7,0.6,1.7,33.1,2.3,2.7,84.8,0.5,3,3.4,2.6,1.4,0.6,0.3,1.7,2,0,12.1,-0.4
Gerald Wallace,BOS,32,32,15,17,8.9,0.4,1.1,41.2,0,0.1,33.3,0.2,0.5,40,0.5,1.3,1.8,0.3,0.6,0.5,0.1,0.6,0,0,1.1,0.9
Giannis Antetokounmpo,MIL,20,81,41,40,31.4,4.7,9.6,49.1,0.1,0.5,15.9,3.2,4.3,74.1,1.2,5.5,6.7,2.6,2.1,0.9,1,3.1,10,0,12.7,0.1
Gigi Datome,BOS,27,21,11,10,10,2,4.2,48.3,0.9,1.9,45,0,0,100,0.1,1.2,1.4,0.4,0.4,0.1,0.3,0.7,0,0,5,3.2
Glen Davis,LAC,29,74,52,22,12.2,1.6,3.4,45.9,0,0.1,0,0.8,1.3,63.2,0.6,1.7,2.3,0.5,0.5,0.6,0.3,1.8,0,0,4,-1.1
Glen Rice Jr.,WAS,24,5,4,1,8.5,0.6,3,20,0.2,1.4,14.3,0.8,1.2,66.7,0.4,0.4,0.8,0.4,0.4,0,0,2.2,0,0,2.2,-4.6
Glenn Robinson,PHI,21,35,2,33,7.5,0.7,1.9,38.8,0.1,0.5,26.3,0.5,0.7,66.7,0.4,0.7,1.1,0.3,0.3,0.2,0,0.4,0,0,2.1,0.8
Goran Dragic,MIA,29,78,41,37,33.8,6.4,12.8,50.1,1.2,3.3,34.7,2.3,3,77.4,1,2.5,3.5,4.5,2.2,1,0.2,2.5,4,0,16.3,0.2
Gordon Hayward,UTA,25,76,35,41,34.4,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,0.7,4.2,4.9,4.1,2.7,1.4,0.4,1.7,2,0,19.3,1.4
Gorgui Dieng,MIN,25,73,16,57,30,3.5,7,50.6,0,0.1,16.7,2.6,3.3,78.3,3.1,5.3,8.3,2,1.7,1,1.7,2.6,18,0,9.7,-5.3
Grant Jerrett,UTA,21,8,6,2,6.4,0.9,3.3,26.9,0.1,1.9,6.7,0.1,0.1,100,0.3,0.9,1.1,0.4,0.4,0.3,0.3,1.4,0,0,2,-2.5
Greg Monroe,DET,25,69,25,44,31,6.1,12.4,49.6,0,0,0,3.7,4.9,75,3.3,6.9,10.2,2.1,2.2,1.1,0.5,2.1,35,0,15.9,-0.4
Greg Smith,DAL,24,42,27,15,8.6,0.7,1.2,61.2,0,0,0,0.5,0.9,51.3,0.6,1.3,1.9,0.2,0.3,0.2,0.3,1.3,0,0,1.9,-0.6
Greg Stiemsma,TOR,29,17,13,4,3.9,0.4,0.5,75,0,0,0,0.1,0.2,50,0.5,0.4,0.9,0.2,0.4,0.1,0,0.9,0,0,0.8,-1.6
Greivis Vasquez,TOR,28,82,49,33,24.3,3.6,8.8,40.8,1.6,4.3,37.9,0.6,0.8,75.8,0.3,2.4,2.6,3.7,1.5,0.6,0.1,2.2,0,0,9.5,0.9
Harrison Barnes,GSW,23,82,67,15,28.3,3.9,8,48.2,1.1,2.6,40.5,1.3,1.8,72,1.4,4.1,5.5,1.4,0.9,0.7,0.2,1.8,6,0,10.1,6.5
Hassan Whiteside,MIA,26,48,18,30,23.8,5.1,8.1,62.8,0,0,0,1.6,3.3,50,3,7,10,0.1,1.2,0.6,2.6,2.7,22,1,11.8,-1.1
Hedo Turkoglu,LAC,36,62,42,20,11.4,1.3,3,44.1,1,2.2,43.2,0.1,0.2,54.5,0.1,1.5,1.6,0.6,0.5,0.3,0.1,1.1,0,0,3.7,0.2
Henry Sims,PHI,25,73,14,59,19.2,3.3,6.9,47.4,0.1,0.3,18.2,1.5,1.9,77.4,1.7,3.3,4.9,1.1,1.4,0.5,0.4,1.8,4,0,8,-4.5
Henry Walker,MIA,27,24,12,12,26.1,2.4,7,34.5,1.9,5.5,34.1,0.6,0.8,77.8,0.3,3.1,3.4,1.2,1,1,0.4,3.2,0,0,7.3,0
Hollis Thompson,PHI,24,71,13,58,25,3.2,7.6,41.3,1.6,4,40.1,0.9,1.3,70.8,0.7,2,2.8,1.2,0.9,0.8,0.4,2,0,0,8.8,-4.8
Ian Clark,DEN,24,30,9,21,6.4,0.6,1.8,34.5,0.3,1,33.3,0.3,0.3,100,0.1,0.4,0.5,0.4,0.3,0.3,0.1,0.7,0,0,1.9,-1.5
Ian Mahinmi,IND,28,61,28,33,18.8,1.9,3.5,55.2,0,0,0,0.5,1.7,30.4,1.7,4.1,5.8,0.5,1,0.5,0.8,2.8,2,0,4.3,-0.1
Iman Shumpert,CLE,25,62,34,28,24.9,3.1,7.6,41,1.1,3.2,34.2,0.7,1,67.2,0.9,2.7,3.6,2.2,1.5,1.3,0.3,2.2,2,0,8,1
Isaiah Canaan,PHI,24,47,24,23,20,3.1,8,38.6,1.9,5.2,37,1,1.3,81.7,0.4,1.5,1.9,2.1,1.3,0.6,0.1,1.8,0,0,9.2,-1.3
Isaiah Thomas,BOS,26,67,40,27,25.8,5,11.9,42.1,1.9,5.2,37.3,4.5,5.2,86.8,0.5,1.8,2.3,4.2,2.1,0.9,0.1,2.2,0,0,16.4,2.6
Ish Smith,PHI,26,55,24,31,15.1,2.6,6.7,39,0.3,1.1,30,0.6,1,59.6,0.3,1.5,1.8,3.3,1.4,0.7,0.1,0.9,0,0,6.1,-1.9
J.R. Smith,CLE,29,70,38,32,29.7,4.5,10.8,41.7,2.3,6.1,38.3,0.8,1,75,0.4,2.7,3.1,2.8,1.4,1.2,0.3,2.3,0,0,12.1,2.3
JJ Hickson,DEN,26,73,26,47,19.3,3,6.3,47.5,0,0,0,1.6,2.8,57.7,2.1,4.1,6.2,0.8,1.3,0.5,0.5,1.9,9,0,7.6,-3.2
JJ Redick,LAC,31,78,55,23,30.9,5.7,12,47.7,2.6,5.9,43.7,2.3,2.6,90.1,0.3,1.9,2.1,1.8,1.2,0.5,0.1,1.7,0,0,16.4,8
JaKarr Sampson,PHI,22,74,17,57,15.3,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,1,0.5,0.4,1.8,0,0,5.2,-4.5
JaMychal Green,MEM,25,24,10,14,6.8,1.1,2,57.4,0,0.3,0,0.3,0.4,80,0.8,1.1,1.9,0.2,0.6,0.2,0.2,1,0,0,2.6,-1
JaVale McGee,PHI,27,23,8,15,11.1,1.8,3.4,53.2,0,0,0,1,1.4,66.7,0.8,1.9,2.7,0.1,0.8,0.1,0.9,1.3,0,0,4.6,-3
Jabari Brown,LAL,22,19,4,15,29.9,3.7,8.9,41.2,1.2,3.3,37.1,3.4,4.5,75.3,0.2,1.7,1.9,2.1,1.7,0.6,0.1,1.7,0,0,11.9,-6.7
Jabari Parker,MIL,20,25,13,12,29.5,5.2,10.5,49,0.2,0.6,25,1.8,2.6,69.7,2,3.5,5.5,1.7,1.9,1.2,0.2,1.7,2,0,12.3,-4.7
Jack Cooley,UTA,24,16,10,6,5.4,0.6,1.4,40.9,0,0,0,0.6,1.3,42.9,0.6,0.9,1.6,0.1,0.2,0.4,0.2,1.4,0,0,1.7,-0.3
Jae Crowder,BOS,24,82,47,35,20.1,2.8,6.6,42,0.7,2.5,29.3,1.3,1.7,77.3,0.9,2.7,3.6,1.1,0.6,0.9,0.3,1.7,0,0,7.7,0.8
Jamaal Franklin,DEN,23,3,1,2,4.4,0.3,0.7,50,0.3,0.7,50,0,0,0,0.3,0.3,0.7,1,1,0,0.3,1.3,0,0,1,-3
Jamal Crawford,LAC,35,64,44,20,26.6,5.2,13.1,39.6,1.9,5.7,32.7,3.5,3.9,90.1,0.3,1.7,1.9,2.5,1.4,0.9,0.2,1.7,0,0,15.8,1.3
Jameer Nelson,DEN,33,63,25,38,22.3,3.3,8,40.7,1.4,4.1,34.5,0.4,0.6,66.7,0.5,1.8,2.3,4,1.7,0.7,0.1,2.2,0,0,8.3,-0.2
James Ennis,MIA,24,62,27,35,17,1.6,4,40.9,0.5,1.5,32.6,1.3,1.5,84,0.8,2,2.8,0.8,0.6,0.4,0.3,1.4,1,0,5,-0.1
James Harden,HOU,25,81,56,25,36.8,8,18.1,44,2.6,6.9,37.5,8.8,10.2,86.8,0.9,4.7,5.7,7,4,1.9,0.7,2.6,21,4,27.4,4.1
James Johnson,TOR,28,70,40,30,19.6,3.4,5.8,58.9,0.2,0.7,21.6,1,1.5,65.7,0.9,2.8,3.7,1.4,1.1,0.8,1,2.2,2,0,7.9,2.1
James Jones,CLE,34,57,35,22,11.7,1.3,3.5,36.8,1.1,3.1,36,0.7,0.8,84.8,0.2,0.9,1.1,0.4,0.2,0.2,0.1,1.2,0,0,4.4,-1.9
James Michael McAdoo,GSW,22,15,11,4,9.1,1.6,2.9,54.5,0,0,0,0.9,1.7,56,1,1.5,2.5,0.1,0.4,0.3,0.6,1.4,0,0,4.1,0.7
James Young,BOS,19,31,14,17,10.7,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.2,0.3,0.1,0.7,0,0,3.4,0.1
Jannero Pargo,CHA,35,9,2,7,8.1,1.7,3.9,42.9,1,2.4,40.9,0.2,0.2,100,0,0.3,0.3,0.9,0.3,0,0,0.9,0,0,4.6,-0.1
Jared Cunningham,LAC,24,19,12,7,4.7,0.6,1.7,36.4,0.2,0.7,30.8,0.4,0.7,53.8,0.1,0.4,0.5,0.5,0.4,0.2,0,0.6,0,0,1.8,-0.3
Jared Dudley,MIL,29,72,39,33,23.8,2.8,5.9,46.8,1,2.7,38.5,0.7,0.9,71.6,0.6,2.4,3.1,1.8,0.9,1,0.2,1.6,0,0,7.2,1.5
Jared Sullinger,BOS,23,58,26,32,27,5.4,12.2,43.9,0.9,3.2,28.3,1.7,2.2,74.4,2.5,5.1,7.6,2.3,1.3,0.8,0.7,2.6,12,0,13.3,-0.3
Jarnell Stokes,MEM,21,19,12,7,6.6,1.1,1.9,56.8,0,0,0,0.8,1.5,53.6,0.8,0.9,1.8,0.2,0.4,0.3,0.3,1.3,0,0,3,0.7
Jarrett Jack,BKN,31,80,36,44,28,4.5,10.2,43.9,0.5,1.8,26.7,2.5,2.8,88.1,0.2,2.8,3.1,4.7,2.4,0.9,0.2,1.8,5,0,12,-3.9
Jason Maxiell,CHA,32,61,22,39,14.4,1.3,3.1,42.2,0,0,0,0.7,1.2,57.7,1.4,1.9,3.3,0.3,0.5,0.3,0.7,1.6,0,0,3.3,-2.5
Jason Richardson,PHI,34,19,4,15,21.9,3.3,9.4,34.8,1.6,5.1,32.3,0.9,1.2,77.3,0.7,2.8,3.5,2,0.8,0.7,0.2,1.5,0,0,9.1,-3.7
Jason Smith,NYK,29,82,17,65,21.8,3.1,7.2,43.4,0.2,0.5,35.7,1.5,1.9,83,1.2,2.8,4,1.7,1.3,0.4,0.5,2.5,3,0,8,-5.2
Jason Terry,HOU,37,77,53,24,21.3,2.4,5.8,42.2,1.6,4.2,39,0.5,0.6,81.3,0.2,1.4,1.6,1.9,1,0.9,0.2,1.5,0,0,7,1.8
Jason Thompson,SAC,28,81,29,52,24.6,2.5,5.3,47,0,0,0,1.1,1.8,62.2,1.7,4.8,6.5,1,1,0.4,0.7,3,7,0,6.1,-2.3
Jeff Adrien,MIN,29,17,1,16,12.7,1.1,2.6,43.2,0,0,0,1.3,2.2,57.9,1.4,3.2,4.5,0.9,0.5,0.2,0.5,1.8,0,0,3.5,-0.8
Jeff Ayres,SAS,28,51,33,18,7.5,1.1,1.9,57.9,0,0,0,0.5,0.7,75,0.7,1.6,2.3,0.3,0.5,0.2,0.2,1.2,0,0,2.7,-1.1
Jeff Green,MEM,28,78,41,37,31.5,5.3,12.4,43,1.2,3.7,33.2,3.1,3.7,83.3,0.8,3.4,4.2,1.7,1.4,0.7,0.4,1.9,1,0,15,-1.7
Jeff Taylor,CHA,26,29,11,18,14.8,1.6,3.9,39.5,0.4,1.2,30.6,0.9,1.4,63.4,0.5,1.3,1.8,0.8,0.7,0.4,0,1.2,0,0,4.4,-4.3
Jeff Teague,ATL,27,73,53,20,30.5,5.6,12.2,46,1,2.8,34.3,3.8,4.4,86.2,0.4,2.1,2.5,7,2.8,1.7,0.4,1.9,10,0,15.9,5.3
Jeff Withey,NOP,25,37,17,20,7,0.9,1.7,50,0,0,0,0.9,1.4,68,0.6,1.1,1.7,0.3,0.3,0.1,0.5,0.7,0,0,2.6,-1.1
Jerami Grant,PHI,21,65,18,47,21.2,1.9,5.4,35.2,0.8,2.4,31.4,1.8,3,59.1,0.8,2.3,3,1.2,1.3,0.6,1,2.2,0,0,6.3,-2.7
Jerel McNeal,PHX,28,6,1,5,6.1,0.5,1.8,27.3,0.2,0.3,50,0.3,0.3,100,0,0.5,0.5,0.3,0.8,0.5,0.2,0.8,0,0,1.5,-0.5
Jeremy Evans,UTA,27,38,19,19,7,0.8,1.5,55.2,0.1,0.1,40,0.6,0.8,82.8,0.7,1.2,1.9,0.3,0.1,0.3,0.3,0.8,0,0,2.4,0.8
Jeremy Lamb,OKC,23,47,27,20,13.5,2.2,5.3,41.6,0.8,2.4,34.2,1,1.2,89.1,0.2,2.1,2.3,0.9,0.6,0.4,0.1,1.1,1,0,6.3,-1.6
Jeremy Lin,LAL,26,74,19,55,25.8,3.7,8.8,42.4,0.9,2.4,36.9,2.9,3.6,79.5,0.4,2.3,2.6,4.6,2.2,1.1,0.4,2.6,3,0,11.2,-3.4
Jerome Jordan,BKN,28,44,17,27,8.7,1.1,2.1,53.2,0,0,0,0.9,1,86.4,1.2,1.2,2.4,0.3,0.5,0.2,0.3,1.3,1,0,3.1,-1.8
Jerrelle Benimon,UTA,23,2,2,0,1.4,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0,0.5,0,0,0,0,0,0,3
Jerryd Bayless,MIL,26,77,39,38,22.3,2.9,6.7,42.6,0.5,1.6,30.8,1.6,1.8,88.3,0.3,2.5,2.7,3,1.7,0.8,0.2,2.1,0,0,7.8,-0.2
Jimmer Fredette,NOP,26,50,27,23,10.2,1.3,3.3,38,0.2,1,18.8,0.9,0.9,95.6,0.2,0.6,0.8,1.2,0.7,0.3,0,0.9,0,0,3.6,0.8
Jimmy Butler,CHI,25,65,40,25,38.7,6.5,14,46.2,1.1,3,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,4,0,20,3.7
Joakim Noah,CHI,30,67,39,28,30.6,2.8,6.4,44.5,0,0,0,1.6,2.6,60.3,3.3,6.4,9.6,4.7,1.8,0.7,1.1,3,15,0,7.2,1.2
Jodie Meeks,DET,27,60,29,31,24.4,3.7,8.9,41.6,1.2,3.5,34.9,2.4,2.7,90.6,0.2,1.5,1.7,1.3,1,1,0.1,1.3,0,0,11.1,-1.6
Joe Harris,CLE,23,51,32,19,9.7,0.9,2.4,40,0.6,1.6,36.9,0.2,0.3,60,0.1,0.7,0.8,0.5,0.5,0.1,0,1.2,0,0,2.7,-2
Joe Ingles,UTA,27,79,36,43,21.2,1.9,4.5,41.5,0.9,2.6,35.6,0.4,0.5,75,0.3,1.9,2.2,2.3,1.2,0.9,0.1,1.6,0,0,5,-0.6
Joe Johnson,BKN,34,80,38,42,34.9,5.6,12.8,43.5,1.5,4.2,35.9,1.8,2.2,80.1,0.7,4.1,4.8,3.7,1.7,0.7,0.2,1.5,3,0,14.4,-1.5
Joel Anthony,DET,32,49,25,24,8.3,0.7,1.3,58.1,0,0,0,0.3,0.4,68.2,0.7,1.2,1.9,0.1,0.2,0.2,1,1.1,0,0,1.8,0.2
Joel Freeland,POR,28,48,34,14,12.8,1.5,3.1,49,0,0,0,0.4,0.5,84,1.3,2.7,4,0.3,0.5,0.2,0.5,1.9,1,0,3.5,1.3
Joey Dorsey,HOU,31,69,48,21,12.4,1.2,2.1,55.2,0,0,0,0.3,1.2,28.9,1.5,2.6,4,0.4,0.6,0.6,0.4,2.3,0,0,2.7,0.2
Joffrey Lauvergne,DEN,23,24,9,15,11.2,1.5,3.7,40.4,0.1,0.7,18.8,0.8,1.2,64.3,1.1,2.1,3.2,0.5,0.9,0.3,0.4,1.8,0,0,3.9,-4.5
John Henson,MIL,24,67,35,32,18.3,2.9,5.2,56.6,0,0,0,1.2,2,56.9,1.9,2.8,4.7,0.9,1.3,0.4,2,2.3,2,0,7,-1.1
John Jenkins,ATL,24,24,13,11,12.4,2,4.1,49.5,0.9,2.2,40.4,0.7,0.8,84.2,0.1,1.5,1.6,0.5,0.3,0.4,0,0.6,0,0,5.6,-1
John Lucas III,DET,32,21,8,13,12.9,2,5,40.4,0.4,1.4,31,0.2,0.2,100,0.2,0.6,0.8,2.9,0.8,0.4,0,0.9,0,0,4.7,-2.2
John Salmons,NOP,35,21,9,12,12.8,0.8,2.3,33.3,0.4,1.2,30.8,0.1,0.2,50,0.2,0.8,1,0.6,0.2,0.4,0.2,1.2,0,0,2,-3
John Wall,WAS,24,79,45,34,35.9,6.6,14.8,44.5,0.8,2.7,30,3.6,4.6,78.5,0.5,4.2,4.6,10,3.8,1.7,0.6,2.3,40,0,17.6,3.5
Johnny O'Bryant,MIL,22,34,17,17,10.8,1.3,3.5,36.7,0,0,0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.7,0.1,0.1,1.3,0,0,2.9,-2.9
Jon Leuer,MEM,26,63,45,18,13.1,1.9,4.3,44.3,0.1,0.5,24.1,0.6,0.9,62.7,0.8,2.5,3.3,0.7,0.6,0.3,0.1,1.4,1,0,4.5,-0.5
Jonas Jerebko,BOS,28,75,37,38,16.4,2.3,5.1,44.6,0.7,1.9,38.6,0.7,0.9,84.8,1.2,2.5,3.8,0.9,0.6,0.6,0.2,1.8,1,0,6,1.9
Jonas Valanciunas,TOR,23,80,47,33,26.2,4.7,8.2,57.2,0,0,0,2.7,3.5,78.6,2.7,6,8.7,0.5,1.4,0.4,1.2,2.8,22,0,12,-0.3
Jordan Adams,MEM,20,30,14,16,8.3,1.2,2.9,40.7,0.3,0.8,40,0.5,0.8,60.9,0.3,0.6,0.9,0.5,0.5,0.5,0.2,0.8,0,0,3.1,0.5
Jordan Clarkson,LAL,23,59,11,48,25,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,1.6,0.9,0.2,1.8,2,0,11.9,-4.1
Jordan Farmar,LAC,28,36,23,13,14.7,1.7,4.4,38.6,1,2.7,36.1,0.3,0.3,90.9,0.2,0.9,1.2,1.9,0.9,0.6,0.1,1.4,0,0,4.6,-1.3
Jordan Hamilton,LAC,24,14,10,4,8.7,1,2.5,40,0.7,1.5,47.6,0,0,0,0.1,1,1.1,0.5,0.3,0.1,0,1,0,0,2.7,-2.1
Jordan Hill,LAL,27,70,19,51,26.8,5.1,11.1,45.9,0,0.2,27.3,1.8,2.4,73.8,2.5,5.5,7.9,1.5,1.5,0.5,0.7,2.3,22,0,12,-5.7
Jorge Gutierrez,MIL,26,20,10,10,8.7,1.1,2.1,53.7,0,0.2,0,0.5,0.7,69.2,0.3,1,1.3,1.1,0.6,0.3,0,1.3,0,0,2.7,-1.3
Jose Calderon,NYK,33,42,7,35,30.2,3.5,8.4,41.5,1.4,3.4,41.5,0.7,0.8,90.6,0.5,2.5,3,4.7,1.8,0.7,0,1.8,2,0,9.1,-8.1
Jose Juan Barea,DAL,31,77,49,28,17.7,2.9,7,42,0.7,2.2,32.3,1,1.2,80.9,0.3,1.4,1.7,3.4,0.9,0.4,0,1.4,0,0,7.5,1.6
Josh McRoberts,MIA,28,17,8,9,17.4,1.6,3.1,52.8,0.5,1.1,42.1,0.5,0.8,61.5,0.4,2.2,2.6,1.9,1.3,0.7,0.2,2.4,0,0,4.2,1.8
Josh Smith,HOU,29,83,41,42,27.7,5,11.9,41.9,0.9,2.7,31.6,1.5,3.1,49.8,1.8,4.6,6.4,3.3,2.5,1,1.4,2.7,15,0,12.4,0.2
Jrue Holiday,NOP,25,40,20,20,32.6,6,13.4,44.6,1.3,3.4,37.8,1.6,1.9,85.5,0.8,2.6,3.4,6.9,2.3,1.6,0.6,2.8,5,0,14.8,2.5
Julius Randle,LAL,20,1,0,1,13.6,1,3,33.3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,-18
Justin Hamilton,MIN,25,41,6,35,17.4,2.1,4.3,47.8,0.2,0.8,32.3,1,1.1,83,1.4,1.9,3.3,0.9,0.6,0.7,0.7,1.7,2,0,5.3,-4.2
Justin Holiday,GSW,26,59,49,10,11.1,1.5,4,38.7,0.6,1.8,32.1,0.6,0.8,82.2,0.2,1,1.2,0.8,0.5,0.7,0.2,0.9,0,0,4.3,-0.2
Jusuf Nurkic,DEN,20,62,21,41,17.8,2.8,6.2,44.6,0,0,0,1.4,2.1,63.6,2,4.1,6.2,0.8,1.4,0.8,1.1,3.3,4,0,6.9,-0.1
KJ McDaniels,HOU,22,62,19,43,21.8,2.8,7,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1,2.2,3.2,1.2,1.7,0.7,1.1,2,1,0,7.9,-4.2
Kalin Lucas,MEM,26,1,0,1,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-7
Kawhi Leonard,SAS,24,64,46,18,31.8,6.2,12.8,47.9,1,3,34.9,3.2,3.9,80.2,1.3,5.9,7.2,2.5,1.5,2.3,0.8,2,14,0,16.5,6.9
Kelly Olynyk,BOS,24,64,31,33,22.2,3.9,8.3,47.5,1,2.7,34.9,1.5,2.1,68.4,1.4,3.3,4.7,1.7,1.5,1,0.6,3.3,3,0,10.3,3.5
Kemba Walker,CHA,25,62,21,41,34.2,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,0.6,3,3.5,5.1,1.6,1.4,0.5,1.5,4,0,17.3,-3
Kendall Marshall,MIL,23,28,13,15,14.9,1.6,3.6,45.5,0.6,1.6,39.1,0.3,0.3,88.9,0.1,0.9,1,3.1,1.3,0.8,0,0.9,0,0,4.2,1.9
Kendrick Perkins,CLE,30,68,38,30,16.9,1.5,3.3,44.9,0,0,0,0.6,1.2,50.6,1.3,3.4,4.7,0.8,1.4,0.2,0.6,2.4,0,0,3.6,0.3
Kenneth Faried,DEN,25,75,30,45,27.8,5,9.8,50.7,0,0.1,12.5,2.7,3.8,69.1,3.2,5.7,8.9,1.2,1.6,0.8,0.8,2.8,26,0,12.6,-0.5
Kent Bazemore,ATL,25,75,53,22,17.6,1.9,4.4,42.6,0.6,1.8,36.4,0.8,1.3,60,0.3,2.7,3,1,1,0.7,0.4,1.7,0,0,5.2,-1.3
Kentavious Caldwell-Pope,DET,22,82,32,50,31.5,4.8,11.9,40.1,1.9,5.4,34.5,1.3,1.9,69.6,0.6,2.5,3.1,1.3,1.1,1.1,0.2,2,0,0,12.7,0.8
Kenyon Martin,MIL,37,11,7,4,9.5,0.8,2,40.9,0,0,0,0.2,0.2,100,0.5,1.2,1.7,0.5,0.3,0.5,0.5,1.2,0,0,1.8,-0.8
Kevin Durant,OKC,26,27,18,9,33.8,8.8,17.3,51,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6,6.6,4.1,2.7,0.9,0.9,1.5,5,0,25.4,6.2
